folder_name,title,no,jenis_kejadian,lokasi_kejadian_desa_kecamatan,lokasi_kejadian_dusun_rt_rw,koordinat_text,latitude,longitude,waktu_kejadian,jam_kejadian,kronologi_kondisi_umum,dampak_bangunan_fisik,dampak_jiwa_luka,dampak_pengungsian,penanganan,tim_terlibat,saran_tl,nara_sumber,petugas_bpbd,keterangan_lain,media_links
JANUARI - FEBRUARI 2023,"Tanah Longsor, Desa Mantrianom Kec Bawang",x,Tanah Longsor,Desa Mantrianom Kec Bawang,Rt 5 Rt 1 (PONPES TANGHO),"-7.400495, 109.627563",-7.400495,109.627563,"Rabu, 04 Januari 2023",15:00:00,"Hujan Intensitas Lebat di wilayah Kec.Bawang mengakibatkan talud dengan ukuran
Lebar -+ 10 m
Tinggi 6 s/d 7 m
Kemiringan 85° s/d 87° 
Terjadi longsoran",1 Talud Longsor menutup saluran pembuangan air,NIHIL,NIHIL,"- Cek Lokasi
- Penanganan Penutupan Dengan 3 Terpal
-Pemasangan rambu jalan dan police line
-Himbauan untuk pembersihan dilakukan setelah hujan reda.
-Himbauan untuk masyarakat sekitar tetap waspada apabila hujan lebat.","-BPBD Banjarnegara 
-Polsek Bawang
-Ponpes Tangho",,"1. Kades Mantrianom
2. Warga","- Alamsyah Tri P
- Fahri Susanto
- Widia Dwi. K",,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwB-UaouZ6YQWDKFwIRimmoG4lJD4IdhOdoNuNUZBNRBB0ONSWqBqRic2sQ4nxXpg0g6fbe9VJ65uoLDu11pDNAJAOCTO_Peqm_69_q_uSHUmSUp4bQZ1NOBXd6dnbGtuszDTqVC59fv3RgM7ClexlD9-MudUCxEXNrcekkVvnK5OYCGNcZBr2VtVF2qsDkvbRYFg9N4qqnpg?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GyDFzFJQzg9Dl5BE3DqDLHnnd75UCEigxpfGqKNHo3nDx2QG4XHxwvFbRdyF4-XDJiXkQn1Y5K78381HRpaoGAj_peWEmdMHV9QMeZisMPgd3plner2evrpD8xm9TlUczq566uIxeks-T42ulndSnGSFgtNV_GENxw7mdBgVRkQ66K9eOd2LenK8Vx6QyAq9kd4gg6cz_ZpHQ?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwWjef7OkJlXZ7gulFs9GJ3VSwS54ebFFCayfQgIyepSrc-SFhmvskp182Cat5J4nT-TfcXuOK_3swIF0M6sEUwHSYlh7nY0zFT2bq0uSwZiDBqsF5bg3shS-LQaQjZKycApw1G08lpDg74-qWg16nvhYQik35eJhmjUUXiuLVTnPxEixNlvx15n1y7MfS6pCEQxCAnd2xq?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Mantrianom Kec. Bawang,-,Tanah Longsor,Desa Mantrianom Kecamatan Bawang,Dusun Karanganyar RT01/RW03,"-7.401327, 109.622421",-7.401327,109.622421,"Rabu, 04 Januari 2023",17:00,"Hujan intensitas lebat terjadi di wilayah Banjarnegara, khususnya di Kecamatan Bawang yang mengakibatkan Talut rumah Bpk.Wanto dengan tinggi +- 2 meter dan lebar +- 10 meter longsor",Dampak dari kejadian tersebut yaitu mengakibatkan tertutupnya akses jalan desa,NIHIL,NIHIL,"- Melakukan asesment awal
- Pembersihan material oleh pemilik rumah
- Himbauan kepada warga masyarakat",- BPBD Banjarnegara,- Warga masyarakat Desa Mantrianom akan bergotong royong untuk melakukan pembersihan material longsor.,-,"- Bambang Tri Anggoro
- Aldi",,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzF4ZjHLKZD39ky8N2mBYMuRp9-BGl1QyiF7TivH-MsLRRunTLnXaAbCMplErlhPRbIbOcrrlEBSiXJ7XP7QdgulcIwCDIvySe3SVtd5AOTbrAfA16Iyme8NrPxxkfKFYdgju1IbmOuDUcdLURhl8t2_S5qIpNMs7hQ8c6zJ42XDYEZiab8Lx26GVUf5ZasKSonb8L9_gzDjQ?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GyDGoUroTGwmNpXwS0UG4aDMULOlXJEelNH0wUxpXxbF6LdoFeEAU3RgDA3wJh64acMeyc3fxft9arpzdU-cVg3LwClmHvUhvYPfny5vyaAwAdAmk4MToco0B1c9nKDgJcMwsVmrWndbIqMyYlo0Ds12HVzpt5WSgiGt1J8L9qmJz3qwM-EUDFw-J3uk2cxyHV4ORnrMrxAhg?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Mantrianom Kec.Bawang,,Tanah Longsor,"Desa Mantrianom, Kecamatan Bawang",Dusun Banjarsari RT04/RW03,"-7.403489, 109.618073",-7.403489,109.618073,"Rabu, 04 Januari 2023",17.30,"Hujan intensitas lebat terjadi di wilayah Banjarnegara, khususnya di Kecamatan Bawang yang mengakibatkan debit air sungai blimbing meluap dan mengakibatkan tiang penyangga Jembatan Ambruk.",Dampak dari kejadian tersebut yaitu mengakibatkan pengendara roda 4 tidak bisa melewati jalan tersebut dan harus melewati jalur alternatif lainnya.,NIHIL,NIHIL,Melakukan asesment awal,"- BPBD Banjarnegara
- Koramil Bawang (Babinsa)",Menghimbau agar warga masyarakat menutup akses tersebut di karenakan membahayakan bagi pengendara roda 4 maupun pengendara roda 2.,-,"- Bambang Tri Anggoro
- Aldi",,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwR70is86T8iGf6gAARuIPC7wxn31KPafJ6Q_WbDFRZ1mnrFBaNWFL7tiQ2NumTB6rUAnZkvon-WS1VCCqW39ZyH6Yor7LdAbCOBnk7Uf_lV_rKEJr9krdAmEptJwgii267dMSCDFQqfa2fAuQOOJZEKfGTzZ8GmVgY6tbgZo-1UkOu8UQFbaXjk-GZZJYJzu4fQJvhBDTgiA?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz1RCn_NJWTNQgK6xQWL4mSW1zM6RyqxtgQbF6pYxM9eq4IeqzlqzzMS8BfgdYMaN_aMiTNtl1TJ99scmp1WmwPL4-H_k8iY8FYshO4PRRF91U0MStG5DBwkmNXguZ4Kf_JIaZoDntHuDm-WsUSSna7yIh5Nq7OYx8LCEYkix5o2PIE4olSIVPYF8cTiiZq52m_o8sJoJcvkw?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gx9xuH7PKMvDasI64QQ9mGe7CkiW3GQ-HYIehusxT9L2jMzZ5nkQSG0WzEzwMxmOCF4itvsdyZ_avE6eHJ-Mqg4Qcrs61j-GBhfNk4CqgSy1vy5e-M0n-04txMs5aPcxccPnhWcToJGjFioIXxO_xK-FfjyNXZTEmWX6eO5HhsqJWsgl49UJ6NyQw0wYNL2sdhwHL7n1CMTBg?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Gumingsir Kec.Pagentan,,Tanah Longsor,Desa Gumingsir Kec.Pagentan,,"-7.3276464, 109.7805881",-7.3276464,109.7805881,"Kamis, 5 Januari 2023",20.00,Hujan beberapa hari yang lalu mengakibatkan jalan penghubung desa gumingsir - kalikidang (grinjalan) amblas kembali dengan kedalaman 4-5 meter.,"-Untuk Sementara KR 4 belum bisa melintas.
-Akses Jalan Warga Masyarakat Terganggu",NIHIL,NIHIL,"- Cek Lokasi
-Kerja Bhakti Masyarakat membuat jalan KR 2.
- Himbauan untuk masyarakat sekitar tetap waspada apabila terjadi hujan",BPBD Banjarnegara,-,-,"- Fahri Susanto
- Widia Dwi. K",,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzqpEQtDL6ikIE6CXAS2Ubq-cLhgqcDIcM9ooRp-TygL5fTEGL2kne6sZ1rH9AxXPk_mLEnTPVKfnR8KIUqdPtHiOHnT4vvB_5l7xqfHYkxiJ7XxqiiOUwaWzOmtVjE_onWDlDO72N-OfKdIPsnDR8Q_LJtUJlEVUsBOUorQCOkTPU8nDH4MP39Qh0zw_RFSyEZ6yEzwIcIMA?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzirC_oMDqbt5kSS364yZhQ07Z-xxwBksf_W9DFPw1wtT9nlKPz_bRHAYg8Hek7LuiOwEu4WGU5yYt_HLCNBDYiD1k4IhCXAhd1hZ9fDfV4a0MzRNQzSA3JZawNW1iHxM39vKIQnB_Z-5P50AXxpLehA-0bojPNav_9HKZSzwQzNV0uNKlMWOLvkc3OM1unkqmXvmANhMjo?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxeeoEnO9xhPkoIsXRm8sfvBZofOB2TTJOa44kaa8y53HSYW0I28_T8v2We3rfBWqovvGUE5x3vjt3dvjBmWSyDgwoaaybXh4wRByyuOLm-Md58zkgtUhF843P1w7OG32sePBp3A1MP7SaYb8uoK_i4zP54_3m8-eRqzayv7QclDSATW0M3a8sGBGb-nwBCKkh-hB6NknsSEA?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Aribaya Pagentan,,Tanah Longsor,"Desa Aribaya
Kecamatan Pagentan",Dusun Kemiri RT 2 RW 1,"-7.349346, 109.767043",-7.349346,109.767043,"Sabtu, 14 Januari 2023",21:00,"Akibat diguyur hujan lebat dengan intensitas tinggi, mengakibatkan tanah perkebunan milik warga amblas, sepanjang kurang lebih 500 meter dan lebar sekitar 100 meter. Jarak Kebun dengan pemukiman Warga kurang lebih 100 meter sehingga perlu penangangan lebih lanjut.",NIHIL,NIHIL,NIHil,"-Cek Lokasi
-Pelaporan ke BPBD","- Koramil Pagentan
- FPRB
- Pemdes Aribaya","- Himbuan kepada warga masyarakat untuk selalu waspada dengan adanya curah hujan yg cukup tinggi dan durasi cukup lama.
- Berkordinasi dengan Pemdes Aribaya untuk melakukan kerjabakti dengan warga masyaratkat guna menutup rekahan baru di lokasi tanah amblas. 
- Asessment lanjutan oleh pihak terkait.",- Slamet Kadus Aribaya,,,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gy4TRianSsI2EGeOCRNwQq_4B9uGHc6B6n7YFwEcHwqJwbBBbs8VLJIm7oDkHcQYTg8zqNYpeu5ojxuiD0Gq7xbr0l2ZXIbHI_W-6daFp2fwefrglBKp9KLt4iAmNbN81mvv_SC8NPw8zsxLS1RWjONKs9g5pVfUJFAekriQQ7IRAgXZlzoWnl2i6C8fWSlWBaBmP84or2k2Q?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gx0w8O7bIq8X1rgyYYmRzLGQfRdhd7wi4Wc3WgTAWBo0moSCKyuXfeWCHUm3OVcFMW8lGVWFmqlrkMZMrjEMmi0LoXEMoIWUqafvhGAGvYxiGRuHgl9cBwvqJeoX68xBICsa4SAkSezjkxZJDt_YHuw442oZCZAFn8_50UgZltboIApXqkvEnGQfU2aXicHH9Vrbh0eH6PP?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzAqHI4wMgUnHtK5OD7RSGdDr7vSAQZPfmzR68geP1Zb7n-jWkfRkgDKfHB7L6Ok4TwlCBoW-4P4z5NXOevbvBGDEUPCnQO6ywxj_GJg897RsFMskleiQ41plyvJrSNCB2gBqhhn7tH1pscuwDDgUHxLGO1d1AbWooIFiJSloP-58aSTk2JTds7Pkt_4srh__vgj9JYLgiaOw?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Jembangan Kec.Punggelan,,TANAH LONGSOR,Jembangan Kec. Punggelan,Dusun gemanti RT 04/08,"-7.3109778, 109.5826096",-7.3109778,109.5826096,Selasa 24 Januari 2023,22;00 WIB.,Pada malam hari tiba tiba talud dan dapur longsor sehingga sebagian rumah rusak sedang dan bagian dapur terbawa longsor,"Pada malam hari tiba tiba talud dan dapur longsor sehingga sebagian rumah rusak sedang dan bagian dapur terbawa longsor, 1 Rumah mengalami kerusakan pada bagian dapur",NIHIL,NIHIL,"- Melaporkan kejadian kepada pihak terkait
- Kerja Bakti
- Cek Lokasi
- Distribusi Logistik","- BPBD Banjarnegara 
- Dinsos Banjarnegara
- PMI Banjarnegara
- PEMDES Jembangan
- Warga Masyarakat",-,JARWADI,"- Sewoyo
- Parwoto
- Ismail","JENIS LOGISTIK YANG DIDISTRIBUSIKAN
BPBD
- Beras 10 Kg.
- Mie Instan 2 Dus
- Gula 1 Kg.
- Kopi 1 Pack
- Saos 1 Pouch
- Kecap 1 Pouch
- Wajan 1 bh
- Panci 1 bh
- Terpal 1 bh
- Sorok 1bh
- Spatula 1 bh
- Baskom 1 bh
- Gayung 1 bh
- Ceret 1 bh
- Balok 4 Batang
- Reng 10 Batang
- Paku 1 Kg
- Karung 50 Lembar

DINSOS
- Sembako 1 Paket

PMI
- Sembako 1 Paket
- Kitchen set 1 Paket","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxWwNEhVP370Al-lsBDti0nO_oU4sZHE753JR-W2gg8diyqGhJzM7lAzxBGn1zP3nypY1jgPqT8zDyyJd3OU25RkHlt-gVyhJvNCvGLx52p3Ce3o0GQR7-uevGBENQpfcuaOCSXdLUsYBcgFFcCevxvDRNegY5-VlusfK52Co_Zk4xxDHlyxkQJLcLZ6bZhevpksb80VpPPgA?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwTkF5LKumplByC1fgBQhHtBommutubw-_xJpUPIBboghtzoLxX3MgzxdANnTgaL1HVLUGxtjUcmgbLD78AREfllxaGIaCPh2mTUX_IGKGg43ue-GOymDOVLOsMZoJoQ8b_jQ0fWYycPWGSEmItDdn8ysQO_LTfNW6JqE-_1h2sPeCvlTKJiccY0wRWGkBosbUrjxxY_RgMEg?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GytYwwU20urRh3yT597lZxftbhlFRcF4cXardhfmmrpHadjcw0kd-U6mEnk1yTcGW0zCxI5FDSjlnag-eBl2__W0mCm5IfmXXwuky-GVSu5vn6C5hNt7I7_mP9-2jGeNaTxyUw5M_N04ijK6bBNM6XPbYgDOLcz62ncdCADXERC-ujlHlw5qQe_okmz_0UXs9FY1Xhg8W2UAA?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Salamerta Kec. Mandiraja,,Talud/Tanah Longsor,"Saluran irigasi induk kalisapi hm 27
Desa Salamerta Kec. Mandiraja","Saluran irigasi induk kalisapi hm 27
Desa Salamerta Kec. Mandiraja","-7.493231, 109.467721",-7.493231,109.467721,"Jum'at, 27Januari 2023.",Pukul 05.00 wib,Hujan dengan intensitas sedang hingga lebat yang terjadi di wilayah Kec. Mandiraja pada hari kamis tanggal 26 Januari 2023 memicu terjadinya talud /tanah longsor serta kemiringan lereng -+70° dengan panjang -+ 30 m dan tinggi -+ 10 m,"Mengancam bangunan Sekolah MI Ma'arif Salamerta
- Menyempitnya saluran induk irigasi Kali Sapi hm 27",-,-,"- BPBD Melakukan Asesment 
- Melaporkan ke Dinas terkait
-Memberikan himbauan untuk tetap hati-hati dan waspada ketika hujan dikarenakan bangunan sekolahan masih digunakan untuk kegiatan belajar mengakarnya
- Pemasangan terpal untuk menutup longsoran","- BPBD Banjarnegara 
- Pemdes Salamerta
- Komite sekolah MI Ma'arif",Koordinasi dengan pihak terkait untuk penanganan lebih lanjut.,- Pemdes Salamerta,- Sewoyo,-,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzpaZTO0hwL4yZeKikC_dXV6KfveTFmR4UPIIaXS6_cfO4rCrvn7rRIlKZIOVuYIG0BAFv14Eu1rFA-2NAIy1UK_7YR6HasbeD0PTcOXlRW0A0XknCIBRmp2tawPbPWLb7Gpe2egHtePgJLQMkfwSRU1b41uga36aE1XIdTvFdxzMm82JRkWPbg9knJLfKH0AWlS0PaidVs8w?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwoP-TpGhe8rF-T2_m3mYqqD2c7p0HDKWTIlyZmXQslx0xA8l3q6v4wdmLBLZ4yHvLleoLEN_JW_N8gdq0QMVxXadcla6fGO6FvLhywXLSJ0NVmG2NDpLruQOaR-Tkuu403t5Xj1_8LdIn8_ic_BgrVGHpMjL-8GEi5zn7L-h1_PMfvJDFidAPC-ZHEB_DpVBTQ6mvNyGJX4w?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz_rY3nx2-_apuxBQQRPiCN_eT_XJ3b4pt5h5u-hIb9jKKkb8R_8OxkRGQ9XNUqZ-BkmWSTcR246UccU2qSUY1oxIqkxREFJ7_x2JqxT4nCnKbnMEsvdKHGubAAXo2u2RZfIraEFotPFKJe1LyNf_Tk9igP9nEddBEI2tB_uOiWsIFV1an1KkRfZ_Nopdu8HFGDFHVQVVirfQ?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwF1wmBGMdP4bzsUH4LC-zYlelolnr8ZXGL6TLjmNEu21sqplfvMtFIE7t38BQScHus1AF0u-8Cu4Fua6F77C-URAIH23oiTibaUjrapD645dnhXeOZx430maX_PaRMocozlFDMHCWMNpG4VLGe8tP-JzbeLO4u1xXxTQ0yF6OZYZL39HWzGOLNAb86C4sbPos_XqbCAblU3w?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Karekan Kec Pagentan,,Tanah Longsor,"Karekan
Kecamatan Pagentan",Karekan Kulon RT 1 RW 2,"-7.278336, 109.784185",-7.278336,109.784185,"Selasa
Tanggal: 31 Januari 2023",19.30 WIB,"Akibat diguyur hujan lebat dengan intensitas tinggi, mengakibatkan tebing sepanjang kurang lebih 12 meter dan tinggi sekitar 6 meter longsor",material longsor.menimpa rumah bagian belakang bapak partomo,nihil,nihil,"pembersihkan material longsor, distribusi bantuan","- BPBD Banjarnegara
- Koramil Pagentan
- Pemdes Karekan
- Destana Karekan",,"- Bapak Slamet (Kadus Karekan Kulon)
- Bapak Partomo
- Bapak sugiyanto",TRC 04,"Logistik BPBD Banjarnegara
1. permakanan 1 set
2. terpal 2 buah
3. mie instan 2 dus
4. beras 10 kg
PMI
1. Permakanan 1 paket

an. PARTOMO
1. Balok 5 btg
2. reng 15
3. mie instan 2 dus
4. beras 10 kg
1. permakanan 1 set
PMI
1. Permakanan 1 set
2. Seng 5 lbr","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwN_J3YvyBWMmBQzwj95mK6Tv5bR941T8t3qvyidzu1KIJA5JeerpQpw4a8_aCAHcaVK86MTX2Q9M7Wpw-ARJSHte91z97Yf7x93Ltif4Rx3V1hrIaCcapjAvsKEqL7KPGzPS6MBu6n901iJsCt_GqXd1iqSAyB05pSvxJt-BOp1PRPu6V4aPRrs11SCeWIVuPqiuOS2cSY?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzLF1f4YNCZKsyJjcTWfhnUdwxuTWGcf7jsFN5aVU2cK_33guemuqEulKarY6brM5v8Y3EiMz4RWHNk6trfk4-az8rqynvAIPMw_wS2xad-7wwej2VCblm38JtGsFRb-i-fHziD-Ngmw8xi-t9Z-h-q9BMSv72tqlmMo3hrj09qQ47xcP5xhVmxbscvnn21cwR7Kw8b1WJA?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Plorengan Kec.Kalibening,,Tanah Longsor,"Desa plorengan RT 1 RW 1
Desa plorengan
Kecamatan kalibening",SD 1 Plorengan,"7° 12' 7.9096"" S 109° 39' 50.6999"" E",-7.20219711111111,109.664083305556,"kamis
3 februari 2023",21.30 WIB,"Akibat diguyur hujan lebat dengan intensitas tinggi, mengakibatkan talud tebing setinggi 5m, panjang 20m belakang gedung SD plorengan 1 mengalami longsor sehingga menimpa bagian belakang SD Plorengan","Ruang kelas 6 SDPlorangan bagian belakang mengalami kerusakan tertimpa material longsor.
Tidak ada korban jiwa",-,-,"Kegiatan yang suda di lakukan pembersihan material longsoran dan penebangan pohon yang ada di atas longsoran oleh Warga masyarakat bersama Destana, karangtaruna, Banser, tim SAR PGRI, Koramil kalibening, Polsek Kalibening, PEMDES Plorengan, Komitedan guru Sekolah","- Banser
- Pemdes Plorengan
- Destana Plorengan
- Koramil Kalibening
- Plosek Kalibening
- Tim SAR PGRI
- Karang Taruna 
- Komite dan guru SD
 Plorengan
- Warga setempat","Himbuan kepada warga masyarakat untuk selalu waspada dengan adanya curah hujan yg cukup tinggi yang di sertai angin
- Asessment lanjutan oleh pihak terkait.","Bapak Kusworo (Kadus Plorengan)
- Niat ( DESTANA Plorengan)
- Jamil ( DESTANA Plorengan)",-,-,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxGZ7p0-wbNX1KCQCsgznHHUlMaRdJaTrKBLlN6tPWuucIrbr174FMmScWBWGR661cRlSIMrEX-_NuXMyYG3WA4i4uLGCzly8YNsbd9dIXBHN6kSNlhq86kGCpnbZaHQyTTYi4mzDDgzAscVGO1dzICyWuF5C20evljIxcz07psJBsjwWPbHgHAcLnCkQ1JQ3zroE2DmVhd?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gyd45og4yhKxb4rGHNmTjRCzk9vGKtR7qEp5WDi1zyDcmtFFrV1iFV6rGwjqb9HgUOmYryBHA0T0VKVg7Biq4l6nsfT4tY07zjdIsLWfBuk_i-fBgQ35d-yM9hy_lyxUldXB0pIvrEVJ5xqlJrTJBrClf9UP-sG6FEPUt3IGWpY5NIxvGPw-bikhQT7u58kzA7u_Ms3nhg1?fife=s16383"
JANUARI - FEBRUARI 2023,Tanah Longsor Desa Krandegan Kec.Banjarnegara,,TANAH LONGSOR,"Kelurahan Krandegan 
Kec.Banjarnegara",RT/RW 02/06,"-7.3926913, 109.6984865",-7.3926913,109.6984865,Senin: 06 Februari 2023,Jam :23.00 Wib,Hujan intensitas sedang hingga lebat di wilayah Banjarnegara. Talud  setinggi +- 4 meter dengan panjang -+ 12 meter longsor.,Material longsor menutupi saluran irigasi dan menyebabkan aliran terbendung,Nihil,Nihil,"-Asesmen 
-Menghimbau agar warga masyarakat tetap waspada.
- Droping Logistik
- Pembukaan saluran drainase;
- Menutup badan longsor dengan terpal.","- BPBD Kab Banjarnegara
- Kodim 0704
- DPUPR Banjarnegara 
- Kelurahan Krandegan 
- Pemilik rumah",- Menghimbau kepada pemilik rumah untuk perbaikan talud kedepannya harus lebih kuat mempertimbangkan teknis konstruksi.,,"Daryoto,  Aldi",Karung dan Terpal,"https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzftnVVY4_zUPuEDOgXT4Xn5wzfwMGUrPsK9U8K1ryP66a6a8PbMOXEVmkWAIdDBtQdxHfeJOeGZpN_Z5N8aOGo1KE4U0TThgWHNWBFAKhx8xfDWuEAhOHtnZU7EXjUrN8ujMuavQQ2rhDFKaG77_kVLDw498GZK9r2BoOLo7BSaBGDg2-GZd4iDfbVjkvGLZTjmRgrFOGtlA?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzRaEC3G7-9QAQvGcD7tOx-qtfksq-oQtAks6MOcUL-ehsn1tHok8mh6xfGx_t0Qkj85fupIdLMUvZM-6865K5JAlcVgK9HO1C5NJYzoF3Dcx-CG1Zip1afIPvUKUvIKv_qpGJHbroGuSlyL2R3PGT1KtKVZPAAAWgdd-IMbzKpqlNbxbzaBN4MmlZVogsSfckV6eGCcXg72A?fife=s16383, https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GyG-9v_nr10TwXRRy8G55gHoWCfyqO6T-hqXfgv_QIt12crBO9TDL4R126UwvWs9pRqnueoGPHozKmUuD5MwcG8NyktoEa23xTN2JIalfNQ77M2a4Lh5eo22jfr-5FxCAIJgZs0aAL4QZ2cRnXdEhIUK5lPo7dDyJ8zekatXvzW776gTZl7r51cGtSlWOYWfNNSQbPazn6RjA?fife=s16383"
